username,most_active_day,most_active_hour,freq_of_most_hashtag,location,verified,followers_count,friends_count,favourites_count,statuses_count,month_created,year_created,is_buzzer
_jagalpasar,6,17,37,0,0,183,204,108,23502,10,2016,0
adirahman149,1,13,81,1,0,471,566,6831,5600,6,2011,0
adriy_six,5,13,7,1,0,134,214,46,10850,12,2010,0
AlKausar5,6,15,24,1,0,1425,3276,21467,69036,2,2012,0
apuyman1,5,3,16,1,0,667,974,6523,10813,7,2012,0
ariesta_joe,3,20,9,1,0,574,337,43938,18458,11,2015,0
arjobardian,6,7,7,1,0,2545,4859,2333,48757,7,2010,0
didinhikmah,5,15,33,1,0,949,997,7580,12067,4,2011,0
dwytono,6,3,11,1,0,1555,1710,160099,82696,2,2013,0
Evialfa20,5,21,49,0,0,2162,2316,65403,93590,11,2012,0
FarelmaxL,5,13,20,0,0,268,265,7974,52171,12,2018,0
gungunadi21,7,23,15,1,0,1127,484,203,26788,6,2015,0
haeruddinwahid,5,1,4,1,0,279,193,11118,10601,9,2018,0
hendrikk168,5,5,16,0,0,815,869,582,79420,10,2015,0	
Mariawan_md,7,17,21,0,0,1221,2125,14212,34486,9,2010,0
nasjuneri,7,12,5,1,0,102,192,4036,1470,8,2015,0
riana_reyna2,5,20,4,0,0,271,307,23033,9947,1,2012,0
risnandar_enda,3,11,9,1,0,184,302,5114,3087,10,2018,0
tanto_majukarep,6,0,12,1,0,91,159,839,15712,10,2016,0
taqyudinuyud,6,23,9,0,0,58,181,4943,2569,7,2013,0
Themark38825398,3,23,113,1,0,55,158,329,4809,9,2018,0
_fatherboard,5,11,3,0,0,81,86,68,392,10,2012,0
10pahlevy,7,19,21,0,0,23,67,49,347,10,2015,0
2y0d_harianja,1,23,8,1,0,42,155,1375,554,7,2014,0
55kaying,7,0,12,0,0,193,1138,22374,24493,6,2015,0
aaeman7,2,22,8,1,0,67,85,2411,2608,6,2010,0
AaIdong,6,20,6,1,0,78,461,5110,5690,7,2016,0
aannurrohmatull,7,15,271,0,0,518,686,43537,133355,6,2015,0
aarifimam,5,9,4,1,0,702,556,454,16266,2,2010,0
